,Unnamed: 0,date,high,low,open,close,20_MA,50_MA,entry_qaulity,candle_pattern_check,candle_pattern_score,bb_check,bb_score,trend_0,trend_1,trend_score,grad_0,grad_1,grad_score,RSI,RSI_score
3278,3278,2021-06-22 19:07:00,1925.9,1920.0,1921.58312008,1923.33780717,1934.0352808840005,1931.0955311658,,,,,,,,,,,,,
3279,3279,2021-06-22 19:08:00,1926.9,1924.4,1926.14032054,1925.06955436,1933.0073663180003,1931.330922253,,,,,,,,,,,,,
3280,3280,2021-06-22 19:09:00,1923.1,1919.1,1923.1,1920.1,1931.746599138,1931.516922253,,,,,,,,,,,,,
3281,3281,2021-06-22 19:10:00,1920.2,1917.1,1919.45044991,1917.1,1930.6465991380005,1931.646922253,,,,,,,,,,,,,
3282,3282,2021-06-22 19:11:00,1917.4,1907.8,1917.4,1913.8,1929.3665991380003,1931.662922253,,,,,,,,,,,,,
3283,3283,2021-06-22 19:12:00,1918.04562051,1911.58533173,1911.58533173,1916.5095986,1928.2820790680005,1931.8730232178,,,,,,,,,,,,,
3284,3284,2021-06-22 19:13:00,1919.9,1915.89427323,1915.89427323,1918.9,1927.197079068,1932.1630232178,,,,,,,,,,,,,
3285,3285,2021-06-22 19:14:00,1920.3,1917.1,1918.88307155,1917.1,1926.252079068,1932.3410232178005,,,,,,,,,,,,,
3286,3286,2021-06-22 19:15:00,1921.8,1918.3,1918.3,1921.2,1925.607079068,1932.5230232178,,,,,,,,,,,,,
3287,3287,2021-06-22 19:16:00,1922.9,1916.3,1919.3,1922.1,1924.922079068,1932.6497874114,,,,,,,,,,,,,
3288,3288,2021-06-22 19:17:00,1921.95462478,1917.39940998,1921.95462478,1917.4,1923.9550630205,1932.6697874114,,,,,,,,,,,,,
3289,3289,2021-06-22 19:18:00,1919.30191972,1918.4,1918.6,1919.30191972,1923.0551590065,1932.7178258058009,,,,,,,,,,,,,
3290,3290,2021-06-22 19:19:00,1918.8,1916.37235041,1917.12814385,1918.8,1922.0751590065,1932.7518258058003,,,,,,,,,,,,,
3291,3291,2021-06-22 19:20:00,1921.9,1918.75574061,1919.2,1921.8,1921.4884038115,1932.8118258058005,,,,,,,,,,,,,
3292,3292,2021-06-22 19:21:00,1921.9,1917.48983202,1921.9,1917.48983202,1921.0094994685,1932.6296224462003,,,,,,,,,,,,,
3293,3293,2021-06-22 19:22:00,1917.1,1907.6,1917.1,1908.53594726,1920.0840789760005,1932.1824875546,,,,,,,,,,,,,
3294,3294,2021-06-22 19:23:00,1907.6,1895.0,1907.6,1895.40894643,1918.4645262975,1931.2966664832,,,,,,,,,,,,,
3295,3295,2021-06-22 19:24:00,1901.9,1896.49353502,1896.5,1897.1,1916.8708082595,1930.4206664832004,,,,,,,,,,,,,
3296,3296,2021-06-22 19:25:00,1906.16444997,1896.1,1897.1,1905.9836852,1915.9599925195,1929.8583401872,,,,,,,,,,,,,
3297,3297,2021-06-22 19:26:00,1909.77974527,1901.2,1906.8,1909.77974527,1915.3408518015,1929.4505387798008,,,,,,,,,,,,,
3298,3298,2021-06-22 19:27:00,1911.9,1904.4,1908.6,1909.4,1914.643961443,1929.0224921336005,,,,,,,,,,,,,
3299,3299,2021-06-22 19:28:00,1909.9,1904.17603755,1909.9,1904.9,1913.635483725,1928.1784921336,,,,,,,,,,,,,
3300,3300,2021-06-22 19:29:00,1907.8,1901.69881746,1907.42980332,1902.3,1912.745483725,1927.3247165786,,,,,,,,,,,,,
3301,3301,2021-06-22 19:30:00,1911.0,1903.09144896,1903.09144896,1910.41242195,1912.4111048225009,1926.6149650176003,,,,,,,,,,,,,
3302,3302,2021-06-22 19:31:00,1912.9,1909.58015518,1910.6,1912.9,1912.3661048225008,1925.8864443184004,,,,,,,,,,,,,
3303,3303,2021-06-22 19:32:00,1914.2,1910.8,1912.12089485,1914.2,1912.2506248925008,1925.1538649476,,,,,,,,,,,,,
3304,3304,2021-06-22 19:33:00,1915.9,1909.1,1914.2,1909.1,1911.7606248925003,1924.2398649476004,,,,,,,,,,,,,
3305,3305,2021-06-22 19:34:00,1909.1,1900.7,1909.1,1902.5,1911.0306248925003,1923.1918649476,,,,,,,,,,,,,
3306,3306,2021-06-22 19:35:00,1909.52275491,1901.4,1901.4,1909.52275491,1910.4467626380008,1922.5063200458003,,,,,,,,,,,,,
3307,3307,2021-06-22 19:36:00,1914.3,1909.9,1909.9,1913.2,1910.0017626380009,1921.8683200458,,,,,,,,,,,,,
3308,3308,2021-06-22 19:37:00,1913.71265034,1912.1,1912.1,1913.4,1909.8017626380008,1921.320400468,,,,,,,,,,,,,
3309,3309,2021-06-22 19:38:00,1912.8,1909.60806896,1912.8,1909.76931488,1909.3251323960008,1920.603229852,,,,,,,,,,,,,
3310,3310,2021-06-22 19:39:00,1912.9,1912.3,1912.5177002,1912.3,1909.0001323960005,1919.94292298,,,,,,,,,,,,,
3311,3311,2021-06-22 19:40:00,1915.9,1911.7,1911.7,1915.7,1908.6951323960009,1919.47492298,,,,,,,,,,,,,
3312,3312,2021-06-22 19:41:00,1916.0,1912.6,1916.0,1912.6,1908.4506407950005,1918.93892298,,,,,,,,,,,,,
3313,3313,2021-06-22 19:42:00,1912.14423568,1909.1,1912.14423568,1911.07704882,1908.5776958730005,1918.3964639564,,,,,,,,,,,,,
3314,3314,2021-06-22 19:43:00,1914.9,1910.3,1910.3,1914.9,1909.5522485515005,1917.8824639563995,,,,,,,,,,,,,
3315,3315,2021-06-22 19:44:00,1919.7,1913.6,1915.5,1913.6,1910.3772485515008,1917.4344639564,,,,,,,,,,,,,
3316,3316,2021-06-22 19:45:00,1913.1,1906.37597466,1913.1,1906.8,1910.418064291501,1916.8884639564,,,,,,,,,,,,,
3317,3317,2021-06-22 19:46:00,1910.71542773,1906.37597466,1907.7,1907.4,1910.2990770280007,1916.3204639564,,,,,,,,,,,,,
3318,3318,2021-06-22 19:47:00,1916.3205546,1909.6,1909.6,1916.2,1910.6390770280009,1915.9096575374,,,,,,,,,,,,,
3319,3319,2021-06-22 19:48:00,1915.9,1911.1,1915.9,1911.1,1910.949077028,1915.3856575374,,,,,,,,,,,,,
3320,3320,2021-06-22 19:49:00,1910.1,1904.65827449,1910.1,1904.65827449,1911.0669907525005,1914.7108230272,,,,,,,,,,,,,
3321,3321,2021-06-22 19:50:00,1912.4331279,1907.9,1907.9,1912.4331279,1911.16802605,1914.2887835072,,,,,,,,,,,,,
3322,3322,2021-06-22 19:51:00,1913.9,1909.44975392,1912.9,1913.2,1911.18302605,1914.0114251295995,,,,,,,,,,,,,
3323,3323,2021-06-22 19:52:00,1914.9,1913.5,1913.9,1914.9,1911.21802605,1913.7685379873992,,,,,,,,,,,,,
3324,3324,2021-06-22 19:53:00,1916.5,1912.1,1914.9,1913.31094201,1911.4285731505,1913.4787568276,,,,,,,,,,,,,
